user_id,reaction_time,correct
0,0.2052,1
0,0.19519,1
0,0.170166,1
0,0.160156,1
0,0.165161,1
0,0.210205,1
0,0.220215,1
0,0.175171,0
0,0.305298,0
0,0.175171,1
0,0.165161,0
0,0.240234,0
0,0.21521,1
0,0.150146,1
0,0.180176,1
0,0.170166,0
0,0.480469,1
0,0.200195,0
0,0.185181,1
0,0.19519,0
0,0.175171,1
0,0.245239,1
0,0.180176,0
0,0.19519,1
0,0.210205,1
0,0.235229,1
0,0.200195,1
0,0.22522,0
0,0.170166,1
0,0.2052,0
0,0.170166,0
0,0.19519,0
0,0.240234,1
0,0.21521,1
0,0.185181,1
0,0.185181,0
0,0.22522,0
0,0.150146,1
0,0.285278,1
0,0.22522,1
0,0.21521,1
0,0.235229,1
0,0.200195,1
0,0.175171,1
0,0.280273,1
0,0.100098,1
0,0.190186,1
0,0.190186,1
0,0.230225,1
0,0.2052,0
0,0.180176,1
0,0.19519,0
0,0.150146,1
0,0.175171,1
0,0.185181,1
0,0.200195,1
0,0.165161,1
0,0.21521,1
0,0.210205,0
0,0.230225,0
0,0.245239,1
0,0.220215,1
0,0.170166,1
0,0.200195,1
0,0.375366,1
0,0.175171,1
0,0.240234,0
0,0.165161,0
0,0.190186,1
0,0.165161,1
0,0.2052,1
0,0.305298,1
0,0.190186,1
0,0.230225,1
0,0.170166,1
0,0.235229,1
0,0.230225,1
0,0.210205,0
0,0.275269,1
0,0.265259,1
1,0.285007,1
1,0.310007,1
1,0.190004,0
1,0.195004,1
1,0.205005,1
1,0.210005,1
1,0.220005,0
1,0.174971,0
1,0.209965,1
1,0.214964,0
1,0.224962,1
1,0.209965,1
1,0.189968,1
1,0.234961,0
1,0.24996,0
1,0.249958,1
1,0.219963,1
1,0.194967,0
1,0.229961,0
1,0.23505,1
1,0.205044,1
1,0.320068,1
1,0.195042,1
1,0.195042,0
1,0.265057,1
1,0.305065,1
1,0.225048,1
1,0.225048,1
1,0.300064,1
1,0.23505,1
1,0.200043,0
1,0.28006,1
1,0.200043,0
1,0.200043,1
1,0.275059,1
1,0.215046,1
1,0.255054,1
1,0.28006,1
1,0.23505,1
1,0.295063,1
1,0.18504,1
1,0.209885,0
1,0.229874,1
1,0.284843,0
1,0.264854,1
1,0.25486,0
1,0.299835,0
1,0.214882,1
1,0.279846,1
1,0.219879,1
1,0.239868,1
1,0.249863,1
1,0.229874,1
1,0.264854,1
1,0.239868,1
1,0.189896,1
1,0.194893,1
1,0.284843,1
1,0.14492,1
1,0.194893,1
1,0.25486,1
1,0.184898,1
1,0.174904,0
1,0.174904,1
1,0.164909,1
1,0.194893,1
1,0.229874,1
1,0.269859,1
1,0.239868,1
1,0.30983,1
1,0.284843,1
1,0.204887,1
1,0.214943,1
1,0.214882,0
1,0.224884,0
1,0.354805,1
1,0.224876,0
1,0.249863,1
2,0.280273,1
2,0.240234,0
2,0.265259,1
2,0.220215,1
2,0.260254,1
2,0.255249,0
2,0.245255,1
2,0.320312,1
2,0.275269,1
2,0.21521,1
2,0.22522,1
2,0.220215,0
2,0.22522,1
2,0.220215,1
2,0.230225,1
2,0.235229,1
2,0.21521,1
2,0.275269,1
2,0.265259,0
2,0.250244,0
2,0.240234,1
2,0.235229,1
2,0.260254,0
2,0.390381,1
2,0.270264,0
2,0.260269,0
2,0.300293,0
2,0.220215,1
2,0.260269,1
2,0.230225,1
2,0.250244,1
2,0.335327,0
2,0.310303,1
2,0.250244,1
2,0.265259,1
2,0.270264,1
2,0.260254,1
2,0.245239,1
2,0.285278,1
2,0.265259,0
2,0.21521,1
2,0.260254,1
2,0.22522,1
2,0.260254,0
2,0.270264,1
2,0.21521,1
2,0.245239,1
2,0.285278,1
2,0.260254,1
2,0.245239,1
2,0.245239,1
2,0.540558,1
2,0.200195,1
2,0.265259,0
2,0.230286,1
2,0.240295,0
2,0.43042,1
2,0.305298,1
2,0.240234,1
2,0.250244,0
2,0.255249,0
2,0.255249,0
2,0.265259,1
2,0.455444,1
2,0.255249,0
2,0.385376,1
2,0.235291,1
2,0.320312,1
2,0.290283,1
2,0.275269,0
2,0.230225,1
2,0.250244,1
2,0.320312,1
2,0.255249,1
2,0.290283,1
2,0.235229,1
2,0.305298,0
2,0.380371,0
2,0.285278,1
2,0.245239,1
3,0.305009,1
3,0.240005,1
