gt_rt,gt_cor,estimation_rt,estimation_cor
0.2052,1,0.17151400234072336,0
0.19519,1,0.18050557727793987,1
0.170166,1,0.31745350627708024,0
0.160156,1,0.24243724558835086,0
0.165161,1,0.19212560956905722,1
0.210205,1,0.18092559442748374,1
0.220215,1,0.3467328396069731,1
0.175171,0,0.21538982173438034,0
0.305298,0,0.17077662029647533,1
0.175171,1,0.31850777210759607,1
0.165161,0,0.23008115163678544,1
0.240234,0,0.19077959449240997,1
0.21521,1,0.22100400070808124,0
0.150146,1,0.175004470571728,1
0.180176,1,0.2663867824444728,0
0.170166,0,0.33142451499577363,1
0.480469,1,0.19981816573230143,1
0.200195,0,0.27915778515486617,1
0.185181,1,0.3496041662411344,1
0.19519,0,0.2345334681464302,0
0.175171,1,0.213745976840335,0
0.245239,1,0.24690913040956702,1
0.180176,0,0.1618160164540618,1
0.19519,1,0.1880504007464067,0
0.210205,1,0.1641670852846197,1
0.235229,1,0.11829999244989038,0
0.200195,1,0.20327155652278076,1
0.22522,0,0.16720780264367482,1
0.170166,1,0.17182138455130277,1
0.2052,0,0.2830598458020557,1
0.170166,0,0.2728266341939477,0
0.19519,0,0.14169885078076544,0
0.240234,1,0.3008612724710694,0
0.21521,1,0.23969078925582257,1
0.185181,1,0.2395165575753327,1
0.185181,0,0.5130306915250168,1
0.22522,0,0.13385730588314923,1
0.150146,1,0.21044108099673778,1
0.285278,1,0.1892719668846464,1
0.22522,1,0.1261911003856755,1
0.21521,1,0.20475233096934303,0
0.235229,1,0.17694977943398346,1
0.200195,1,0.2163281147231898,1
0.175171,1,0.12173289030555234,1
0.280273,1,0.14473705547412627,1
0.100098,1,0.2101857419330771,1
0.190186,1,0.2693703287085428,1
0.190186,1,0.25228040934451623,1
0.230225,1,0.16391418121170573,1
0.2052,0,0.1340327774742482,0
0.180176,1,0.16400438030794406,1
0.19519,0,0.21963083577951975,1
0.150146,1,0.18859046204056057,0
0.175171,1,0.25862015254531884,1
0.185181,1,0.24877910216525206,1
0.200195,1,0.15704457505125596,1
0.165161,1,0.2609100345635898,1
0.21521,1,0.21582897230423195,0
0.210205,0,0.17285575407067152,0
0.230225,0,0.2579746883375559,1
0.245239,1,0.20268575312303214,0
0.220215,1,0.1534404353514388,1
0.170166,1,0.1966127127009787,1
0.200195,1,0.28264954237082696,1
0.375366,1,0.25759078366432986,1
0.175171,1,0.21922797967327445,1
0.240234,0,0.2601354796680153,0
0.165161,0,0.17702644585555194,1
0.190186,1,0.1936460835749641,1
0.165161,1,0.16981337385389642,1
0.2052,1,0.19607547241233625,1
0.305298,1,0.2789425068081455,1
0.190186,1,0.17480095750561372,1
0.230225,1,0.2054230779368534,0
0.170166,1,0.1782707076851677,1
0.235229,1,0.21061236122976212,0
0.230225,1,0.23747358857480325,1
0.210205,0,0.23341023564499494,1
0.275269,1,0.20664240834229577,0
0.265259,1,0.4598387844362739,0
