gt_rt,gt_cor,estimation_rt,estimation_cor
0.2052,1,0.3282816334404801,1
0.19519,1,0.19859247023063997,1
0.170166,1,0.2557140047002604,1
0.160156,1,0.18099484582630193,1
0.165161,1,0.2078532642559502,0
0.210205,1,0.19709078347292314,1
0.220215,1,0.34565434541941653,0
0.175171,0,0.2903810393255104,1
0.305298,0,0.17830798587449184,0
0.175171,1,0.20748298517190245,1
0.165161,0,0.42343291685163914,1
0.240234,0,0.22655315977540175,1
0.21521,1,0.176935689396861,1
0.150146,1,0.4264379662321281,1
0.180176,1,0.17592114941537965,0
0.170166,0,0.2738478021016209,1
0.480469,1,0.24897870233683095,1
0.200195,0,0.24148330574701907,1
0.185181,1,0.37986761896002275,1
0.19519,0,0.3893620652200911,0
0.175171,1,0.2210196965266905,0
0.245239,1,0.2015755105138653,0
0.180176,0,0.29776956268990634,1
0.19519,1,0.1554326895268118,1
0.210205,1,0.23155633346514323,0
0.235229,1,0.16517481944714668,1
0.200195,1,0.2784678544360729,1
0.22522,0,0.17794256918841458,0
0.170166,1,0.23771868740159685,1
0.2052,0,0.19999653342240306,0
0.170166,0,0.24933120021360303,0
0.19519,0,0.34664435693116635,1
0.240234,1,0.32638438469201403,0
0.21521,1,0.11827509177663816,1
0.185181,1,0.1860271399909877,1
0.185181,0,0.33358018340321316,1
0.22522,0,0.2807801485063714,1
0.150146,1,0.1565208056092052,1
0.285278,1,0.15471425600799607,0
0.22522,1,0.2783818802916117,1
0.21521,1,0.28050833318561846,1
0.235229,1,0.24030336035876484,0
0.200195,1,0.21701921485714898,1
0.175171,1,0.32396748914075796,0
0.280273,1,0.21412925739455294,1
0.100098,1,0.2772189983648983,1
0.190186,1,0.2555464297253387,1
0.190186,1,0.4606955996539529,0
0.230225,1,0.17955666181323898,1
0.2052,0,0.14735245652078133,1
0.180176,1,0.15412433321084665,1
0.19519,0,0.154459391616037,1
0.150146,1,0.16361295895473524,1
0.175171,1,0.255966759802424,1
0.185181,1,0.29155390604178943,1
0.200195,1,0.34328915944454397,1
0.165161,1,0.3096015665911651,1
0.21521,1,0.14786501066472318,1
0.210205,0,0.19483921486348435,1
0.230225,0,0.14729374047886293,1
0.245239,1,0.20241714287941684,0
0.220215,1,0.3174364933973918,0
0.170166,1,0.22744543011902302,1
0.200195,1,0.31792728536089676,1
0.375366,1,0.2111352384520649,1
0.175171,1,0.13241101564121596,1
0.240234,0,0.2488753492646387,1
0.165161,0,0.19859087203174103,0
0.190186,1,0.2216808246346123,1
0.165161,1,0.3402185811450148,1
0.2052,1,0.286784706598846,0
0.305298,1,0.13659862713285087,1
0.190186,1,0.4848676030221805,1
0.230225,1,0.20761230463028907,1
0.170166,1,0.17462231592770272,1
0.235229,1,0.21554316088882614,1
0.230225,1,0.31828532345702654,1
0.210205,0,0.20417340227322667,0
0.275269,1,0.14855759710731273,1
0.265259,1,0.18412655368863418,1
